Begin,END,xmin,ymin,xmax,ymax,Xdiff,Ydiff,EPslewrmax,Epslewfmax,Epslewrmin,Epslewfmin,Epcapfmax,Epcapfmin,Epcaprmax,Epcaprmin,Spslewfmax,Spslewfmin,Spslewrmin,Spslewrmax,arrival max,arrival min,skew,GBA,PBA
m_mFW_reg_16__143_/QN,m_mZ_reg_4__126_/D,75.672,1134.72,831.024,660.6,755.352,-474.12,30.6,32.6,10.7,11.1,0.429,0.381,0.429,0.383,59.5,57.5,69.1,71.7,59.319,45.019,14.3,1526.3,1467.919
m_mFW_reg_0__270_/QN,m_mZ_reg_12__16_/D,395.568,324.72,845.496,799.92,449.928,475.2,25,26.5,10.4,10.6,0.429,0.381,0.429,0.383,25.8,23.7,25.5,28.1,55.319,13.019,42.3,1551.4,1442.319
m_mFW_reg_14__132_/QN,m_mZ_reg_11__103_/D,418.248,1431.72,838.584,765.36,420.336,-666.36,35.9,38.9,10.3,10.7,0.429,0.381,0.429,0.383,27,24.9,27,29.6,49.819,15.119,34.7,1503.119,1421.619
m_mFW_reg_2__327_/QN,m_mZ_reg_14__16_/D,521.496,304.2,845.064,783.72,323.568,479.52,37.1,40,10.8,11.2,0.429,0.381,0.429,0.383,39.9,37.9,43.2,46,52.219,14.219,38,1499.219,1419.819
m_mFW_reg_4__330_/QN,m_mZ_reg_13__36_/D,302.472,306.36,820.656,772.92,518.184,466.56,31.6,34.7,11.2,11.4,0.429,0.381,0.429,0.383,25.1,23,24.6,27.3,49.119,34.119,15,1531.319,1467.119
m_mFW_reg_4__330_/QN,m_mZ_reg_10__38_/D,302.472,306.36,837.936,716.76,535.464,410.4,27.5,29.6,9.5,9.9,0.429,0.381,0.429,0.383,25.1,23,24.6,27.3,49.119,17.919,31.2,1501.919,1435.519
m_mFW_reg_8__380_/QN,m_mZ_reg_17__58_/D,287.136,792.36,754.776,633.6,467.64,-158.76,44,40.1,11.7,11.4,0.429,0.381,0.429,0.383,23.5,21.5,22.8,25.2,60.519,42.519,18,1537.719,1475.419
m_mFW_reg_8__352_/QN,m_mZ_reg_2__59_/D,365.544,739.44,814.824,644.4,449.28,-95.04,37.4,33.5,10.7,10.5,0.429,0.381,0.429,0.383,88.8,86.9,108.6,111.2,64.219,34.219,30,1543.719,1443.519
m_mFW_reg_5__180_/QN,m_mZ_reg_8__36_/D,120.816,353.88,815.904,825.84,695.088,471.96,29.4,32.3,13.1,12.2,0.429,0.381,0.429,0.383,24.3,22.2,23.6,26.2,49.519,27.719,21.8,1501.318,1450.819
m_mFW_reg_1__391_/QN,m_mZ_reg_7__15_/D,431.64,308.52,823.464,826.92,391.824,518.4,30.8,33.5,12.1,12.1,0.429,0.381,0.429,0.383,24.8,22.7,24.3,26.9,47.019,27.219,19.8,1529.1,1447.719
